profile,replay_run_id,plan_sha256,worker_plan_sha256,source_step_index,source_step_id,segment_index_zero_based,event_indices_zero_based,planned_start_s,planned_end_s,actual_start_sim_time,actual_end_sim_time,servo_targets,measured_servo_positions_at_transition,servo_errors,effective_tolerance_deg,recorded_servo_residual_deg,legacy_missing_endpoint,servo_measured_average_velocity_deg_s,sampled_joint_velocity,wheel_target_rad_s,wheel_duration_s,contact_ground_state,completion_extension_s,progress_improvement,gap_reason,stop_reason,last_error
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,49,[65],53.72466666661992,53.78799999995325,61.41666666666383,61.61666666666381,"{""rear_right_hip"":-16.4}","{""rear_right_hip"":-15.834929692423252}","{""rear_right_hip"":0.5650703075767467}",1.0,{},True,47.50000000000269,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.1366666666666553,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,50,[66],53.78799999995325,53.795333333286585,61.61666666666382,61.683333333330474,"{""rear_right_hip"":-17.5}","{""rear_right_hip"":-17.316144489833206}","{""rear_right_hip"":0.18385551016679358}",1.0,{},True,16.50000000000096,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.05933333333332953,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,51,[67],53.795333333286585,53.83733333328659,61.68333333333048,61.8166666666638,"{""rear_right_hip"":-23.8}","{""rear_right_hip"":-24.523517187264087}","{""rear_right_hip"":-0.7235171872640862}",1.0,{},True,47.25000000000269,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.09133333333332574,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,52,[68],53.83733333328659,53.86599999995325,61.81666666666381,61.949999999997125,"{""rear_right_hip"":-28.1}","{""rear_right_hip"":-27.589006365066293}","{""rear_right_hip"":0.5109936349337083}",1.0,{},True,32.25000000000184,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.10466666666665908,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,53,[69],53.86599999995325,53.88666666661992,61.94999999999713,62.01666666666379,"{""rear_right_hip"":-31.2}","{""rear_right_hip"":-32.11439936738278}","{""rear_right_hip"":-0.9143993673827815}",1.0,{},True,46.500000000002615,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.045999999999996224,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,13,step_013_recorded_height_050mm_dur_9.93s,54,[70],53.88666666661992,60.88666666661355,62.016666666663795,69.01666666666766,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",6.9999999999936335,{},1.0231815394945443e-11,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,13,step_013_recorded_height_050mm_dur_9.93s,55,[71],60.88666666661355,60.88666666661355,69.01666666666766,69.01666666666766,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.0,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,14,step_014_recorded_height_050mm_dur_17.73s,56,"[72,73,74,75,76,77,78,79,80]",60.88666666661355,62.486666666612095,69.01666666666766,70.61666666666893,"{""front_left_hip"":28.1,""front_left_knee"":-8.1,""front_right_hip"":19.6,""front_right_knee"":16.2,""rear_left_hip"":1.6,""rear_left_knee"":0.0,""rear_right_hip"":-31.2,""rear_right_knee"":-40.9}","{""front_left_hip"":28.076988261363514,""front_left_knee"":-7.974763746412564,""front_right_hip"":19.476384204753792,""front_right_knee"":16.309044218134083,""rear_left_hip"":1.5394903393406258,""rear_left_knee"":0.11483288892616994,""rear_right_hip"":-31.062099442715596,""rear_right_knee"":-40.77773782292948}","{""front_left_hip"":-0.023011738636487422,""front_left_knee"":0.12523625358743562,""front_right_hip"":-0.12361579524620936,""front_right_knee"":0.10904421813408405,""rear_left_hip"":-0.06050966065937424,""rear_left_knee"":0.11483288892616994,""rear_right_hip"":0.13790055728440365,""rear_right_knee"":0.12226217707051745}",1.0,{},True,16.49999999998687,null,"{""front_left_ankle"":0.0,""front_right_ankle"":2.0944,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",1.5999999999985448,{},2.7284841053187847e-12,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,14,step_014_recorded_height_050mm_dur_17.73s,57,[81],62.486666666612095,62.486666666612095,70.61666666666893,70.61666666666893,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.0,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,15,step_015_recorded_height_050mm_dur_6.20s,58,[82],62.486666666612095,62.514666666612094,70.61666666666893,70.75000000000237,"{""front_right_hip"":23.8}","{""front_right_hip"":24.034555343591407}","{""front_right_hip"":0.23455534359140628}",1.0,{},True,31.49999999997493,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.10533333333343944,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,15,step_015_recorded_height_050mm_dur_6.20s,59,[83],62.514666666612094,62.535999999945425,70.75000000000237,70.88333333333581,"{""front_right_hip"":27.0}","{""front_right_hip"":27.41556899218671}","{""front_right_hip"":0.41556899218671006}",1.0,{},True,23.999999999980897,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.11200000000010611,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,15,step_015_recorded_height_050mm_dur_6.20s,60,[84],62.535999999945425,62.54999999994543,70.88333333333581,70.95000000000253,"{""front_right_hip"":29.1}","{""front_right_hip"":28.442897745248327}","{""front_right_hip"":-0.657102254751674}",1.0,{},True,31.499999999974953,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.05266666666671971,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,15,step_015_recorded_height_050mm_dur_6.20s,61,[85],62.54999999994543,62.55733333327876,70.95000000000253,71.01666666666925,"{""front_right_hip"":30.2}","{""front_right_hip"":29.504877755516713}","{""front_right_hip"":-0.6951222444832865}",1.0,{},True,16.499999999986837,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.059333333333386404,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,16,step_016_recorded_height_050mm_dur_21.07s,62,"[86,87,88,89,90,91,92,93,94]",62.55733333327876,63.557333333291496,71.01666666666925,72.01666666667005,"{""front_left_hip"":5.8,""front_left_knee"":-28.2,""front_right_hip"":30.2,""front_right_knee"":16.2,""rear_left_hip"":1.6,""rear_left_knee"":0.0,""rear_right_hip"":-31.2,""rear_right_knee"":-40.9}","{""front_left_hip"":5.571351021631419,""front_left_knee"":-28.042664636458444,""front_right_hip"":30.285182471961065,""front_right_knee"":16.12230343113135,""rear_left_hip"":1.6971196861620015,""rear_left_knee"":0.08832105609551588,""rear_right_hip"":-31.095304407365614,""rear_right_knee"":-40.64062177534148}","{""front_left_hip"":-0.22864897836858056,""front_left_knee"":0.15733536354155575,""front_right_hip"":0.08518247196106543,""front_right_knee"":-0.07769656886864951,""rear_left_hip"":0.0971196861620014,""rear_left_knee"":0.08832105609551588,""rear_right_hip"":0.10469559263438555,""rear_right_knee"":0.25937822465851923}",1.0,{},True,22.299999999982255,null,"{""front_left_ankle"":-1.96,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",1.000000000012733,{},0.0,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,16,step_016_recorded_height_050mm_dur_21.07s,63,[95],63.557333333291496,63.557333333291496,72.01666666667005,72.01666666667005,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.0,complete,none,complete,
