profile,step,segment,global_command_first,global_command_last,command,scheduled_start_sim_time_s,scheduled_end_sim_time_s,planned_start_offset_s,planned_end_offset_s,observer_wall_time,max_servo_error_deg,servo_errors_deg,wheel_targets_rad_s,residual_warning,stop_reason,step24_25_evidence
fast,23,117,154,154,servo front_left_hip 35.3,401.4390000000606,401.4483333333939,76.4556666668585,76.46500000019184,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,23,118,155,155,servo front_right_hip 20.1,401.4483333333939,401.4943333333939,76.46500000019184,76.51100000019184,1785900467.6956275,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,119,156,156,servo front_right_hip 24.2,401.4943333333939,401.52166666672724,76.51100000019184,76.53833333352517,1785900467.9765224,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,120,157,157,servo front_right_hip 27,401.52166666672724,401.54033333339396,76.53833333352517,76.55700000019183,1785900468.1076322,1.3773812781510237,"{""front_right_hip"":-1.3773812781510237}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,121,158,158,servo front_right_hip 29.8,401.54033333339396,401.55900000006056,76.55700000019183,76.5756666668585,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,23,122,159,159,servo front_right_hip 31.2,401.55900000006056,401.5683333333939,76.5756666668585,76.58500000019183,1785900468.245503,1.040769631428553,"{""front_right_hip"":-1.040769631428553}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,123,160,160,servo front_right_hip 32.5,401.5683333333939,401.5770000000606,76.58500000019183,76.5936666668585,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,24,124,161,171,servo front_left_hip 35.3 | servo front_left_knee -11.5 | servo front_right_hip 32.5 | servo front_right_knee -15.7 | servo rear_left_hip 24.2 | servo rear_left_knee 12 | servo rear_right_hip -0.7 | servo rear_right_knee -44.8 | wheel fl -1.13 | wheel fr -1.09 | wheel rr 2.0944,401.5770000000606,402.3580000000196,76.5936666668585,77.37466666681752,1785900468.4981465,,{},"{""front_left_ankle"":-1.13,""front_right_ankle"":-1.09,""rear_left_ankle"":0.0,""rear_right_ankle"":2.0944}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,YES
fast,24,125,172,172,wheel stop,402.3580000000196,402.3580000000196,77.37466666681752,77.37466666681752,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,YES
fast,25,126,173,181,servo front_left_hip 35.3 | servo front_left_knee -11.5 | servo front_right_hip 32.5 | servo front_right_knee -15.7 | servo rear_left_hip -0.7 | servo rear_left_knee 12 | servo rear_right_hip -0.7 | servo rear_right_knee -44.8 | wheel rl 0.58,402.3580000000196,402.9359999999991,77.37466666681752,77.95266666679703,1785900469.5515215,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.58,""rear_right_ankle"":0.0}","{""step_index"":24,""segment_index"":124,""max_error_deg"":1.5801972412978529,""effective_tolerance_deg"":2.0668797884155197,""recorded_residual_deg"":{""front_left_hip"":0.8445362089630706,""front_left_knee"":0.40248913298323963,""front_right_hip"":-0.29335895601469986,""front_right_knee"":-0.012378422313927828,""rear_left_hip"":-0.16603836286741824,""rear_left_knee"":-0.11654085019037552,""rear_right_hip"":-0.10124752802755227,""rear_right_knee"":1.3168797884155197},""measured_errors_deg"":{""front_left_hip"":0.12666283662722577,""front_left_knee"":-0.12716471639456906,""front_right_hip"":0.07564542898982296,""front_right_knee"":-0.0765565873026599,""rear_left_hip"":0.04708232225719655,""rear_left_knee"":-0.11769173706552216,""rear_right_hip"":0.18270891557713315,""rear_right_knee"":1.5801972412978529},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.5668797884155197}",,YES
