sim_time_s,sim_step,source_step,command_cursor,segment_cursor,event_cursor,scheduler_state,base_x_m,base_y_m,base_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,robot_state_finite,active_contact_count_available,geometry_support_candidate_count,stability_state,joint_limit_violation
6.766666666666793,812,2,7,6,7,PLAYING,0.04032557085156441,0.019289396703243256,0.07115183770656586,-0.2557427743870285,-0.20047908011634769,0.032032747354777374,True,False,3,recoverable,False
6.833333333333463,820,2,7,6,7,PLAYING,0.041340116411447525,0.01930781453847885,0.07105398178100586,-0.255975916487841,-0.20061033082156082,0.03212171689133654,True,False,3,recoverable,False
6.900000000000133,828,2,7,6,7,PLAYING,0.04239816963672638,0.01932244747877121,0.07093577831983566,-0.2561952419171442,-0.20074482727367757,0.03222215814925858,True,False,3,recoverable,False
6.966666666666803,836,2,7,6,7,PLAYING,0.04347686842083931,0.019332535564899445,0.07078894227743149,-0.2563763006847804,-0.20087309116897445,0.032303166152763955,True,False,3,recoverable,False
7.033333333333473,844,2,7,6,7,PLAYING,0.04453766345977783,0.019322171807289124,0.07064777612686157,-0.25623518672437584,-0.20072413944411044,0.03229259519312084,True,False,3,recoverable,False
7.100000000000143,852,2,7,6,7,PLAYING,0.045644361525774,0.019266441464424133,0.0705416351556778,-0.2555074565788425,-0.20017921530856575,0.03221130578816083,True,False,3,recoverable,False
7.166666666666813,860,2,7,6,7,PLAYING,0.046785444021224976,0.019205868244171143,0.07040123641490936,-0.2548206960931876,-0.19964758999530233,0.03208126003571796,True,False,3,recoverable,False
7.233333333333483,868,2,7,6,7,PLAYING,0.04795399680733681,0.019129857420921326,0.070240318775177,-0.2542624881921716,-0.19908625676599312,0.03201089575820874,True,False,3,recoverable,False
7.300000000000153,876,2,7,6,7,PLAYING,0.04871063306927681,0.019094809889793396,0.07025980204343796,-0.25426525188856075,-0.19858285235961215,0.03196684073967237,True,False,3,recoverable,False
7.366666666666823,884,2,7,6,7,PLAYING,0.04948592185974121,0.019063524901866913,0.07032544165849686,-0.2542921771145006,-0.19830945418592968,0.031943541551414927,True,False,3,recoverable,False
7.4333333333334926,892,2,7,6,7,PLAYING,0.05034273862838745,0.019039921462535858,0.07037168741226196,-0.2543851190141723,-0.19812692830097242,0.031936329627083,True,False,3,recoverable,False
7.5000000000001625,900,2,7,6,7,PLAYING,0.05124277621507645,0.019003234803676605,0.07041050493717194,-0.25449965299696536,-0.19799326331949058,0.031964943423276194,True,False,3,recoverable,False
7.5666666666668325,908,2,7,6,7,PLAYING,0.05217757448554039,0.018968507647514343,0.07043399661779404,-0.2545934915367928,-0.1978698479276501,0.031943800001183895,True,False,3,recoverable,False
7.6333333333335025,916,2,7,6,7,PLAYING,0.05315553396940231,0.018956251442432404,0.07045053690671921,-0.25489116421453956,-0.19778599664308352,0.031929845468043234,True,False,3,recoverable,False
