source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v003_20260805_224517_157723_manual,20,[5],84,65.40933333330845,65.41599999997511,"[""servo rear_left_hip 16.4""]","{""rear_left_hip"":16.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.006666666666666655,0.0,0.0,0.006666666666660603,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 16.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":124,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[6],85,65.41599999997511,65.43733333330844,"[""servo rear_left_knee 22.6""]","{""rear_left_knee"":22.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.02133333333333333,0.0,0.0,0.021333333333330984,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee 22.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":125,""source_event_index"":6,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[7],86,65.43733333330844,65.57133333330844,"[""servo rear_left_knee 2.5""]","{""rear_left_knee"":2.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.134,0.0,0.0,0.13400000000000034,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee 2.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":126,""source_event_index"":7,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[8],87,65.57133333330844,65.67066666664178,"[""servo rear_left_knee -12.4""]","{""rear_left_knee"":-12.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.09933333333333333,0.0,0.0,0.09933333333333394,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee -12.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":127,""source_event_index"":8,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[9],88,65.67066666664178,65.69133333330845,"[""servo rear_left_knee -15.5""]","{""rear_left_knee"":-15.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.020666666666666663,0.0,0.0,0.020666666666670608,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee -15.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":128,""source_event_index"":9,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[10],89,65.69133333330845,65.69866666664178,"[""servo rear_left_knee -16.6""]","{""rear_left_knee"":-16.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.007333333333333343,0.0,0.0,0.00733333333333519,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee -16.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":129,""source_event_index"":10,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,21,[0],90,65.69866666664178,65.74799999997512,"[""servo rear_left_hip 9.0""]","{""rear_left_hip"":9.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.049333333333333326,0.0,0.0,0.04933333333333678,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 9.0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":130,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":21}]"
v003_20260805_224517_157723_manual,21,[1],91,65.74799999997512,65.8046666666418,"[""servo rear_left_hip 0.5""]","{""rear_left_hip"":0.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.056666666666666664,0.0,0.0,0.05666666666667197,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 0.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":131,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":21}]"
v003_20260805_224517_157723_manual,21,[2],92,65.8046666666418,65.8466666666418,"[""servo rear_left_hip -5.8""]","{""rear_left_hip"":-5.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.041999999999999996,0.0,0.0,0.04200000000000159,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -5.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":132,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":21}]"
v003_20260805_224517_157723_manual,21,[3],93,65.8466666666418,65.86799999997513,"[""servo rear_left_hip -9.0""]","{""rear_left_hip"":-9.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.021333333333333336,0.0,0.0,0.021333333333330984,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -9.0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":133,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":21}]"
