source_version,source_command_cursor,source_step_index,source_event_index,source_expanded_index,source_command,source_event_time_s,compiler_outcome,plan_event_index,compiled_segment_index,plan_global_command_index,planned_dispatch_time_s,actual_dispatch_time_s,dispatch_lateness_s,servo_target_deg,wheel_target_rad_s,atomic_batch_id,atomic_batch_applied_sim_step,atomic_batch_first_physics_step,atomic_batch_motion_start_skew_s,atomic_batch_ack_valid,atomic_batch_ack_error,command_cursor,segment_cursor,macro_state_cursor
v003_20260805_224517_157723_manual,26,5,0,5,servo rear_left_knee 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,21,16,22,16.304999999988226,17.96666666666629,1.6616666666780606,"{""rear_left_knee"":0.0}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,22,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,27,5,0,6,servo rear_right_hip 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,22,16,23,16.304999999988226,17.96666666666629,1.6616666666780606,"{""rear_right_hip"":0.0}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,23,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,28,5,0,7,servo rear_right_knee 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,23,16,24,16.304999999988226,17.96666666666629,1.6616666666780606,"{""rear_right_knee"":0.0}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,24,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,29,5,0,8,wheel fl -1.05,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,24,16,25,16.304999999988226,17.96666666666629,1.6616666666780606,{},"{""front_left_ankle"":-1.05}",playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,25,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,30,5,0,9,wheel fr 0,17.199999999984357,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,31,5,0,10,wheel rl 0,17.199999999984357,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,32,5,0,11,wheel rr 0,17.199999999984357,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,33,5,1,0,wheel stop,18.399999999983265,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,25,17,26,17.504999999987135,19.233333333332883,1.7283333333457485,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-17-4e6620ff,2308,2309,0.0,True,,26,17,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,34,5,2,0,wheel stop,21.19999999998072,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,35,6,0,0,wheel all 0.300,2.5999999999976353,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,26,18,27,17.504999999987135,19.299999999999546,1.7950000000124113,{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-18-4497d471,2316,2317,0.0,True,,27,18,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,36,6,1,0,wheel stop,6.199999999994361,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,27,19,28,21.10499999998386,22.89999999999934,1.7950000000154809,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-19-984af9b8,2748,2749,0.0,True,,28,19,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,37,6,2,0,wheel stop,8.39999999999236,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
